calendar_date,home,away,home_name,away_name,home_score,away_score,neutral,forfeit,both_teams_ranked,perspective_check
2026-09-04,external-231344,resurrection,external-231344,Resurrection,0,0,False,False,False,single_ranked_team
2026-09-04,greenwood,external-241722,Greenwood High School,external-241722,6,21,False,False,False,single_ranked_team
2026-09-04,pearl-river-central,external-244750,Pearl River Central High School,external-244750,42,28,False,False,False,single_ranked_team
2026-09-04,hernando,external-253177,Hernando High School,external-253177,49,7,False,False,False,single_ranked_team
2026-09-04,external-254111,horn-lake,external-254111,Horn Lake High,35,7,False,False,False,single_ranked_team
2026-09-04,kossuth,external-263057,Kossuth High School,external-263057,7,34,False,False,False,single_ranked_team
2026-09-04,external-263101,okolona,external-263101,Okolona High School,35,6,False,False,False,single_ranked_team
2026-09-04,rosa-fort,external-529091,Rosa Fort High School,external-529091,36,42,False,False,False,single_ranked_team
2026-09-04,florence,kosciusko,Florence High School,Kosciusko Senior High School,16,46,False,False,True,consistent
2026-09-04,west-harrison,forest,West Harrison High School,Forest High School,37,19,False,False,True,consistent
2026-09-04,forest-hill,wayne-county,Forest Hill High School,Wayne County High School,0,44,False,False,True,consistent
2026-09-04,long-beach,forrest-county-agricultural,Long Beach Senior High School,Forrest County Agricultural Hi Sch,17,7,False,False,True,consistent
2026-09-04,george-county,south-jones,George County High School,South Jones High School,48,20,False,False,True,consistent
2026-09-04,oak-grove,germantown,Oak Grove High School,Germantown High School,28,25,False,False,True,consistent
2026-09-04,greene-county,perry-central,Greene County High School,Perry Central High School,43,27,False,False,True,consistent
2026-09-04,ripley,grenada,Ripley High School,Grenada High,8,50,False,False,True,consistent
2026-09-04,hamilton,noxapater,Hamilton High School,Noxapater Attendance Center,35,41,False,False,True,consistent
2026-09-04,hancock,harrison-central,Hancock High School,Harrison Central High School,17,14,False,False,True,consistent
2026-09-04,smithville,hatley,Smithville High School,Hatley High School,20,22,False,False,True,consistent
2026-09-04,hattiesburg,laurel,Hattiesburg High School,Laurel High School,27,25,False,False,True,consistent
2026-09-04,yazoo-city,holmes-county-central,Yazoo City High School,Holmes County Central High School,20,32,False,False,True,consistent
2026-09-04,pontotoc,houston,Pontotoc High School,Houston High School,27,12,False,False,True,consistent
2026-09-04,south-delta,humphreys-county,South Delta High School,Humphreys County High School,30,8,False,False,True,consistent
2026-09-04,mccomb,jefferson-county,McComb High School,Jefferson Co High,42,6,False,False,True,consistent
2026-09-04,sumrall,jefferson-davis-county,Sumrall High School,Jefferson Davis County High School,22,14,False,False,True,consistent
2026-09-04,noxubee-county,kemper-county,Noxubee County High School,Kemper County High School,61,34,False,False,True,consistent
2026-09-04,lafayette,saltillo,Lafayette High School,Saltillo High School,71,28,False,False,True,consistent
2026-09-04,lanier,moss-point,Lanier High School,Moss Point High School,20,0,False,False,True,consistent
2026-09-04,tylertown,lawrence-county,Tylertown High School,Lawrence County High School,22,20,False,False,True,consistent
2026-09-04,leake-central,vicksburg,Leake Central High School,Vicksburg High School,34,18,False,False,True,consistent
2026-09-04,leflore-county,simmons,Leflore County High School,Simmons High School,14,6,False,False,True,consistent
2026-09-04,shaw,leland,Shaw High School,Leland High School,22,14,False,False,True,consistent
2026-09-04,olive-branch,lewisburg,Olive Branch High School,Lewisburg High School,49,30,False,False,True,consistent
2026-09-04,louisville,shannon,Louisville High School,Shannon High School,28,0,False,False,True,consistent
2026-09-04,west-lincoln,loyd-star,West Lincoln School,Loyd Star School,2,39,False,False,True,consistent
2026-09-04,north-forrest,lumberton,North Forrest High School,Lumberton High School,12,26,False,False,True,consistent
2026-09-04,mendenhall,magee,Mendenhall High School,Magee High School,35,15,False,False,True,consistent
2026-09-04,west-lowndes,mcadams,West Lowndes High School,McAdams Attendance Center,14,44,False,False,True,consistent
2026-09-04,puckett,mclaurin,Puckett Attendance Center,McLaurin Attendance Center,41,12,False,False,True,consistent
2026-09-04,neshoba-central,meridian,Neshoba Central High School,Meridian High School,36,28,False,False,True,consistent
2026-09-04,mize,presbyterian-christian,Mize Attendance Center,Presbyterian Christian School,17,21,False,False,True,consistent
2026-09-04,west-lauderdale,morton,West Lauderdale High School,Morton High School,34,49,False,False,True,consistent
2026-09-04,mount-olive,newton,Mount Olive Attendance Center,Newton High School,0,44,False,False,True,consistent
2026-09-04,natchez,south-pike,Natchez High School,South Pike Senior High School,40,24,False,False,True,consistent
2026-09-04,nettleton,north-pontotoc,Nettleton High School,North Pontotoc High School,28,45,False,False,True,consistent
2026-09-04,new-albany,senatobia,New Albany High School,Senatobia High School,27,34,False,False,True,consistent
2026-09-04,newton-county,raleigh,Newton County High School,Raleigh High School,21,28,False,False,True,consistent
2026-09-04,wesson,north-pike,Wesson Attendance Center,North Pike Senior High School,29,14,False,False,True,consistent
2026-09-04,northeast-jones,west-jones,Northeast Jones High School,West Jones High School,14,35,False,False,True,consistent
2026-09-04,northeast-lauderdale,philadelphia,Northeast Lauderdale High School,Philadelphia High School,30,6,False,False,True,consistent
2026-09-04,obannon,riverside,O’Bannon High School,Riverside High School,54,8,False,False,True,consistent
2026-09-04,petal,ocean-springs,Petal High School,Ocean Springs High School,43,21,False,False,True,consistent
2026-09-04,oxford,south-panola,Oxford High School,South Panola High School,17,10,False,False,True,consistent
2026-09-04,palmer,winona,M. S. Palmer High School,Winona Secondary School,0,55,False,False,True,consistent
2026-09-04,pass-christian,purvis,Pass Christian High School,Purvis High School,55,19,False,False,True,consistent
2026-09-04,warren-central,pearl,Warren Central High School,Pearl High School,40,14,False,False,True,consistent
2026-09-04,poplarville,stone,Poplarville Jr Sr High School,Stone High School,42,0,False,False,True,consistent
2026-09-04,vancleave,richland,Vancleave High School,Richland High School,49,46,False,False,True,consistent
2026-09-04,sacred-heart,st-patrick,Sacred Heart,St. Patrick,30,19,False,False,True,consistent
2026-09-04,wilkinson-county,salem,Wilkinson County High,Salem Attendance Center,38,7,False,False,True,consistent
2026-09-04,union,scott-central,Union High School,Scott Central Attendance Center,19,34,False,False,True,consistent
2026-09-04,water-valley,south-pontotoc,Water Valley High School,South Pontotoc High School,47,3,False,False,True,consistent
2026-09-04,starkville,west-point,Starkville High School,West Point High School,46,8,False,False,True,consistent
2026-09-04,velma-jackson,yazoo-county,Velma Jackson High School,Yazoo County High School,36,15,False,False,True,consistent
2026-09-04,west-tallahatchie,west-bolivar,West Tallahatchie High School,West Bolivar High School,8,14,False,False,True,consistent
